seed,scarcityGradientNorm,stableGradientNorm,contrastiveGradientNorm,scarcityAlignment,neutralAlignment,alignmentDifference,scarcityDisplacement,neutralDisplacement
14003,0.6049244927884042,1.38132973796742,1.354860933139689,-0.6073099005061925,-0.08595526045215544,-0.5213546400540371,0.13890223928893888,0.09256404599496565
14011,0.4408127080988013,0.4145263960943675,0.4627082632716464,0.13255831283319097,0.27388489316509723,-0.14132658033190626,0.07876474769611881,0.04808749903481615
14029,0.44620119626081517,1.282490972006612,0.8953756367381214,0.08148192101024833,-0.30766921324599417,0.3891511342562425,0.09456431076175158,0.09438803126776854
14041,0.19934305686676881,0.9238982427534775,0.8689039064409008,-0.7309439388230848,0.10201551373035513,-0.83295945255344,0.05264456685018419,0.09092448476818525
14057,0.46589350266976653,0.8136302416306934,0.4871681628863298,-0.45349274834102704,-0.4816436764741946,0.028150928133167552,0.07429454389332883,0.10157781568734951
14071,0.5965219839756575,0.820816491022299,0.9977899102894596,-0.5855128740769804,0.906287473275988,-1.4918003473529684,0.09480097760648576,0.07143082742335566
14087,0.19559842753960735,0.832831639105198,0.7004371063255402,0.3008463537722994,-0.25513126302380584,0.5559776167961052,0.12049277865547565,0.1277349949839832
14101,0.48606701740054725,0.8256591082056574,0.6783157903111648,0.19957496917552633,0.13635534441052768,0.06321962476499865,0.08713964611468152,0.10127766850938742
14119,0.3138943515311836,0.8860632170964754,0.8846227680208986,0.23496954388349578,0.7509350880518344,-0.5159655441683386,0.08927782168299771,0.10287120582259555
14137,0.2970187950434336,0.8154984505859547,0.6770665160937757,0.255419564641554,-0.14734296812114644,0.40276253276270046,0.06669719520895065,0.07762200256734239
14153,0.31321078288116405,0.5765701410687301,0.4644651554836332,-0.28521342482893314,0.46723300638744114,-0.7524464312163743,0.11215059381903193,0.03253167001288519
14173,0.2717320479783176,0.9818963134518683,0.893734381908105,-0.005207903055786983,0.011085447743677274,-0.016293350799464257,0.11062994608327963,0.13078168081911337
