seed,gradient_norm,scarcity_alignment,neutral_alignment,scarcity_minus_neutral_alignment
14003,2.5038550524055485,-0.44483967509685524,0.3958220437678534,-0.8406617188647086
14011,0.0,0.0,0.0,0.0
14029,3.1457643480294792,0.5423210908982913,0.7101500101516335,-0.1678289192533422
14041,0.0,0.0,0.0,0.0
14057,3.5409857733283228,0.21678221943729178,0.051087914890348,0.16569430454694378
14071,2.7777777777777777,0.10477650235885373,-0.7554335300331989,0.8602100323920526
14087,0.0,0.0,0.0,0.0
14101,2.3570226039551585,0.6020477583177982,-0.09918789501220916,0.7012356533300074
14119,1.979781948757451,-0.9656204493173858,-0.3655095881459954,-0.6001108611713903
14137,0.0,0.0,0.0,0.0
14153,0.14880952380952375,-0.06369415414453611,0.7987121549419208,-0.8624063090864569
14173,0.0,0.0,0.0,0.0
