rule_id,observer_id,sample_count,seed_count,OBS-AUTOCORR-TIME,OBS-COMPRESSION,OBS-HAMMING,OBS-PERTURB-GROWTH,OBS-SHANNON
0,OBSERVER-EBID-CORE,4,4,1,0.004050644455252918,0,-0.000005612092187967675,0
1,OBSERVER-EBID-CORE,4,4,1,0.25983402237354086,0.0019455252918287903,-0.0000028060460939838374,0.4565458581781327
2,OBSERVER-EBID-CORE,4,4,1,0.5040202456225681,0.0019455252918287903,-0.0000028060460939838374,0.3774951370957734
3,OBSERVER-EBID-CORE,4,4,1,0.5086636673151751,0.004863813229571978,0.000001380752839896809,0.604889499830686
4,OBSERVER-EBID-CORE,4,4,1,0.5156629985408561,0.004863813229571976,0.0000014030230469919187,0.3830720496766369
5,OBSERVER-EBID-CORE,4,4,1,0.8911265807392996,0.005836575875486373,0.0000027837758868887276,0.6099294516972522
6,OBSERVER-EBID-CORE,4,4,1,0.6650428623540856,0.013618677042801544,0.00006914899303031601,0.5590263210292498
7,OBSERVER-EBID-CORE,4,4,1,0.28943488570038906,0.012159533073929949,0.00002273788144410712,0.6676960230077812
8,OBSERVER-EBID-CORE,4,4,2,0.0060721668287937736,0,-0.00000968754008637277,0
9,OBSERVER-EBID-CORE,4,4,1,0.7105195160505836,0.008754863813229574,0.000016123629936859506,0.6752220997016565
10,OBSERVER-EBID-CORE,4,4,1,0.7685584873540856,0.0009727626459143952,-0.000004209069140975756,0.5674056386177766
11,OBSERVER-EBID-CORE,4,4,1,0.7723431420233463,0.0038910505836575807,0.0000013584826328016988,0.6876728059345715
12,OBSERVER-EBID-CORE,4,4,1,1.0311512037937742,0.005836575875486371,0.0000028060460939838374,0.5706773794165245
13,OBSERVER-EBID-CORE,4,4,1,1.7260077213035019,0.004863813229571979,-0.0000012694018044212598,0.6840575383225036
14,OBSERVER-EBID-CORE,4,4,3.25,1.0347838642996108,0.038910505836575834,0.00015537923490258125,0.6930941865991719
15,OBSERVER-EBID-CORE,4,4,0,1.034897859922179,0.0038910505836575807,0,0.6927610022284093
16,OBSERVER-EBID-CORE,4,4,1,0.5020823200389105,0.0038910505836575807,0,0.3774951370957734
17,OBSERVER-EBID-CORE,4,4,1,0.5071969236381323,0.004863813229571978,0.000001380752839896809,0.604889499830686
18,OBSERVER-EBID-CORE,4,4,1,0.9922254985408561,0.2421571011673151,0.0016461691680563276,0.5642410998980849
19,OBSERVER-EBID-CORE,4,4,1,0.3766263375486381,0.00680933852140077,0.000005567551773777454,0.6721401787743251
20,OBSERVER-EBID-CORE,4,4,1,0.643391293774319,0.029669260700389104,0.0001873815224982541,0.5508476365035712
21,OBSERVER-EBID-CORE,4,4,1,0.2919883876459144,0.00875486381322956,0.000008640840352902611,0.6710994593652784
22,OBSERVER-EBID-CORE,4,4,1,0.6686527237354087,0.4544929474708166,0.0028013248100796735,0.6409331913816266
23,OBSERVER-EBID-CORE,4,4,2,0.3381414153696498,0.009727626459143959,0.000008462678696141732,0.6922759736047253
24,OBSERVER-EBID-CORE,4,4,1,0.7656098005836576,0.007782101167315161,0.000006970574820769374,0.48790113271034186
25,OBSERVER-EBID-CORE,4,4,1,0.8582046449416342,0.0038910505836575876,-0.00009821161328943433,0.6872214758831955
26,OBSERVER-EBID-CORE,4,4,1,1.176108037451362,0.007782101167315172,0.000011046022719174468,0.6658474217290875
27,OBSERVER-EBID-CORE,4,4,1,0.7707776021400778,0.0034046692607003844,-0.000004632203075782843,0.6888732561693167
28,OBSERVER-EBID-CORE,4,4,1,1.7402495744163424,0.006809338521400778,-0.000004966256182209486,0.692200500432468
29,OBSERVER-EBID-CORE,4,4,0,1.2714311770428015,0.007782101167315172,0.000005612092187967679,0.6927610022284093
