seed,gradientNorm,scarcityAlignment,neutralAlignment,alignmentDifference,scarcityDisplacement,neutralDisplacement
14003,0.6049244927884042,0.49158053599184676,0.5610753556115619,-0.0694948196197151,0.13890223928893888,0.09256404599496565
14011,0.4408127080988013,0.6117146598420974,0.15202551200405637,0.45968914783804105,0.07876474769611881,0.04808749903481615
14029,0.44620119626081517,0.44224436200578016,0.7469532111194427,-0.3047088491136625,0.09456431076175158,0.09438803126776854
14041,0.19934305686676881,-0.502821185310946,0.42734405348576776,-0.9301652387967138,0.05264456685018419,0.09092448476818525
14057,0.46589350266976653,0.6300724791084812,0.21305791789368722,0.41701456121479397,0.07429454389332883,0.10157781568734951
14071,0.5965219839756575,-0.3131947117535844,0.4702556610632679,-0.7834503728168523,0.09480097760648576,0.07143082742335566
14087,0.19559842753960735,0.3811965928035055,0.43065432412091054,-0.04945773131740505,0.12049277865547565,0.1277349949839832
14101,0.48606701740054725,0.5680878935483303,-0.2842839296183448,0.8523718231666751,0.08713964611468152,0.10127766850938742
14119,0.3138943515311836,0.9310083181612598,0.20574786800892503,0.7252604501523348,0.08927782168299771,0.10287120582259555
14137,0.2970187950434336,-0.44507134172149404,-0.16848508630161924,-0.2765862554198748,0.06669719520895065,0.07762200256734239
14153,0.31321078288116405,0.41975476299559256,0.06553381010056103,0.3542209528950315,0.11215059381903193,0.03253167001288519
14173,0.2717320479783176,0.032977781814356094,0.7712071751748245,-0.7382293933604684,0.11062994608327963,0.13078168081911337
