condition,edgeId,fluxMagnitude,segmentCount
scarcity_mutable,0.0.1.1->0.0.1.1,0.0,10
scarcity_mutable,1.0.0.1->1.0.0.1,0.00045978748951977847,23
scarcity_mutable,1.0.1.1->1.0.0.1,0.0012009764218682475,1
scarcity_mutable,1.0.1.1->1.0.1.1,0.009338692331019652,134
scarcity_mutable,1.0.1.1->2.0.1.1,0.0022006229463404038,1
scarcity_mutable,1.0.1.2->1.0.1.2,0.01148130200103126,53
scarcity_mutable,1.0.1.2->2.0.1.2,0.0038960768314800142,1
scarcity_mutable,1.0.2.1->1.0.2.1,0.035733807945971266,61
scarcity_mutable,1.0.2.2->1.0.2.2,0.02713655324535094,59
scarcity_mutable,1.0.2.2->1.1.2.2,0.0070276324425323595,1
scarcity_mutable,1.1.0.1->1.1.0.1,0.010997993006770596,69
scarcity_mutable,1.1.0.2->1.1.0.2,0.008515621196165009,68
scarcity_mutable,1.1.1.0->1.0.1.1,0.0034153247219369867,1
scarcity_mutable,1.1.1.0->1.1.1.0,0.0,43
scarcity_mutable,1.1.1.0->1.1.2.1,0.0020692499180565834,1
scarcity_mutable,1.1.1.1->1.0.1.1,0.004953595029318204,2
scarcity_mutable,1.1.1.1->1.1.0.1,0.0028619047619296237,1
scarcity_mutable,1.1.1.1->1.1.1.1,0.03574646678289129,772
scarcity_mutable,1.1.1.1->1.1.2.1,0.0016906280193749973,1
scarcity_mutable,1.1.1.1->2.1.1.1,0.009168766626335279,5
scarcity_mutable,1.1.1.2->1.1.1.2,0.019476182393701347,325
scarcity_mutable,1.1.1.2->2.1.1.2,0.0022782755213799407,1
scarcity_mutable,1.1.2.0->1.1.2.0,0.0,21
scarcity_mutable,1.1.2.1->1.1.1.1,0.001416684636238406,1
scarcity_mutable,1.1.2.1->1.1.2.1,0.006349833349578134,163
scarcity_mutable,1.1.2.1->2.1.2.1,0.0020116888576874998,1
scarcity_mutable,1.1.2.2->1.1.2.2,0.009868591636712713,174
